date,city,excess_deaths,covid_deaths
2019-12-01,Wuhan,NA,0
2019-12-02,Wuhan,NA,0
2019-12-03,Wuhan,NA,0
2019-12-04,Wuhan,NA,0
2019-12-05,Wuhan,NA,0
2019-12-06,Wuhan,NA,0
2019-12-07,Wuhan,NA,0
2019-12-08,Wuhan,NA,0
2019-12-09,Wuhan,NA,0
2019-12-10,Wuhan,NA,0
2019-12-11,Wuhan,NA,0
2019-12-12,Wuhan,NA,0
2019-12-13,Wuhan,NA,0
2019-12-14,Wuhan,NA,0
2019-12-15,Wuhan,NA,0
2019-12-16,Wuhan,NA,0
2019-12-17,Wuhan,NA,0
2019-12-18,Wuhan,NA,0
2019-12-19,Wuhan,NA,0
2019-12-20,Wuhan,NA,0
2019-12-21,Wuhan,NA,0
2019-12-22,Wuhan,NA,0
2019-12-23,Wuhan,NA,0
2019-12-24,Wuhan,NA,0
2019-12-25,Wuhan,NA,0
2019-12-26,Wuhan,NA,0
2019-12-27,Wuhan,NA,0
2019-12-28,Wuhan,NA,0
2019-12-29,Wuhan,NA,0
2019-12-30,Wuhan,NA,0
2019-12-31,Wuhan,NA,0
2020-01-01,Wuhan,17.555491128553335,0
2020-01-02,Wuhan,17.555491128553335,0
2020-01-03,Wuhan,17.555491128553335,0
2020-01-04,Wuhan,17.555491128553335,0
2020-01-05,Wuhan,17.555491128553335,0
2020-01-06,Wuhan,17.555491128553335,0
2020-01-07,Wuhan,17.555491128553335,0
2020-01-08,Wuhan,32.79311592895143,0
2020-01-09,Wuhan,32.79311592895143,0
2020-01-10,Wuhan,32.79311592895143,1
2020-01-11,Wuhan,32.79311592895143,0
2020-01-12,Wuhan,32.79311592895143,0
2020-01-13,Wuhan,32.79311592895143,0
2020-01-14,Wuhan,32.79311592895143,0
2020-01-15,Wuhan,42.785823719531415,1
2020-01-16,Wuhan,42.785823719531415,0
2020-01-17,Wuhan,42.785823719531415,0
2020-01-18,Wuhan,42.785823719531415,1
2020-01-19,Wuhan,42.785823719531415,0
2020-01-23,Wuhan,228.00807148235867,-3
2020-01-24,Wuhan,228.00807148235867,38
2020-01-25,Wuhan,228.00807148235867,7
2020-01-26,Wuhan,228.00807148235867,18
2020-01-27,Wuhan,228.00807148235867,22
2020-01-28,Wuhan,228.00807148235867,19
2020-01-29,Wuhan,430.3804938870184,25
2020-01-30,Wuhan,430.3804938870184,30
2020-01-31,Wuhan,430.3804938870184,33
2020-02-01,Wuhan,430.3804938870184,32
2020-02-02,Wuhan,430.3804938870184,41
2020-02-03,Wuhan,430.3804938870184,48
2020-02-04,Wuhan,430.3804938870184,49
2020-02-05,Wuhan,417.15266418086924,52
2020-02-06,Wuhan,417.15266418086924,64
2020-02-07,Wuhan,417.15266418086924,0
2020-02-08,Wuhan,417.15266418086924,67
2020-02-09,Wuhan,417.15266418086924,63
2020-02-10,Wuhan,417.15266418086924,73
2020-02-11,Wuhan,417.15266418086924,67
2020-02-12,Wuhan,267.3033304148255,72
2020-02-13,Wuhan,267.3033304148255,216
2020-02-14,Wuhan,267.3033304148255,-20
2020-02-15,Wuhan,267.3033304148255,107
2020-02-16,Wuhan,267.3033304148255,110
2020-02-17,Wuhan,267.3033304148255,76
2020-02-18,Wuhan,267.3033304148255,72
2020-02-19,Wuhan,158.49433849683103,116
2020-02-20,Wuhan,158.49433849683103,88
2020-02-21,Wuhan,158.49433849683103,99
2020-02-22,Wuhan,158.49433849683103,90
2020-02-23,Wuhan,158.49433849683103,82
2020-02-24,Wuhan,158.49433849683103,131
2020-02-25,Wuhan,158.49433849683103,56
2020-02-26,Wuhan,103.6645446481468,42
2020-02-27,Wuhan,103.6645446481468,19
2020-02-28,Wuhan,103.6645446481468,28
2020-02-29,Wuhan,103.6645446481468,37
2020-03-01,Wuhan,103.6645446481468,26
2020-03-02,Wuhan,103.6645446481468,32
2020-03-03,Wuhan,103.6645446481468,25
2020-03-04,Wuhan,90.89727062722115,30
2020-03-05,Wuhan,90.89727062722115,23
2020-03-06,Wuhan,90.89727062722115,23
2020-03-07,Wuhan,90.89727062722115,21
2020-03-08,Wuhan,90.89727062722115,21
2020-03-09,Wuhan,90.89727062722115,19
2020-03-10,Wuhan,90.89727062722115,15
2020-03-11,Wuhan,69.56633978776826,19
2020-03-12,Wuhan,69.56633978776826,7
2020-03-13,Wuhan,69.56633978776826,6
2020-03-14,Wuhan,69.56633978776826,10
2020-03-15,Wuhan,69.56633978776826,10
2020-03-16,Wuhan,69.56633978776826,13
2020-03-17,Wuhan,69.56633978776826,11
2020-03-18,Wuhan,46.76418680272788,10
2020-03-19,Wuhan,46.76418680272788,6
2020-03-20,Wuhan,46.76418680272788,2
2020-03-21,Wuhan,46.76418680272788,6
2020-03-22,Wuhan,46.76418680272788,4
2020-03-23,Wuhan,46.76418680272788,9
2020-03-24,Wuhan,46.76418680272788,7
2020-03-25,Wuhan,61.904522376615766,2
2020-03-26,Wuhan,61.904522376615766,5
2020-03-27,Wuhan,61.904522376615766,4
2020-03-28,Wuhan,61.904522376615766,3
2020-03-29,Wuhan,61.904522376615766,5
2020-03-30,Wuhan,61.904522376615766,4
2020-03-31,Wuhan,61.904522376615766,1
2020-04-01,Wuhan,NA,5
2020-04-02,Wuhan,NA,6
2020-04-03,Wuhan,NA,4
2020-04-04,Wuhan,NA,4
2020-04-05,Wuhan,NA,3
2020-04-06,Wuhan,NA,1
2020-04-07,Wuhan,NA,0
2020-04-08,Wuhan,NA,1
2020-04-09,Wuhan,NA,2
2020-04-10,Wuhan,NA,1
2020-04-11,Wuhan,NA,2
2020-04-12,Wuhan,NA,0
2020-04-13,Wuhan,NA,2
2020-04-14,Wuhan,NA,0
2020-04-15,Wuhan,NA,0
2020-04-16,Wuhan,NA,0
2020-04-17,Wuhan,NA,1290
2020-04-18,Wuhan,NA,0
2020-04-19,Wuhan,NA,0
2020-04-20,Wuhan,NA,0
2020-04-21,Wuhan,NA,0
2020-04-22,Wuhan,NA,0
2020-04-23,Wuhan,NA,0
2020-04-24,Wuhan,NA,0
2020-04-25,Wuhan,NA,0
2020-04-26,Wuhan,NA,0
2020-04-27,Wuhan,NA,0
2020-04-28,Wuhan,NA,0
2020-04-29,Wuhan,NA,0
2020-04-30,Wuhan,NA,0
2020-05-01,Wuhan,NA,0
2020-05-02,Wuhan,NA,0
2020-05-03,Wuhan,NA,0
2020-05-04,Wuhan,NA,0
2020-05-05,Wuhan,NA,0
2020-05-06,Wuhan,NA,0
2020-05-07,Wuhan,NA,0
2020-05-08,Wuhan,NA,0
2020-05-09,Wuhan,NA,0
2020-05-10,Wuhan,NA,0
2020-05-11,Wuhan,NA,0
2020-05-12,Wuhan,NA,0
2020-05-13,Wuhan,NA,0
2020-05-14,Wuhan,NA,0
2020-05-15,Wuhan,NA,0
2020-05-16,Wuhan,NA,0
2020-05-17,Wuhan,NA,0
2020-05-18,Wuhan,NA,0
2020-05-19,Wuhan,NA,0
2020-05-20,Wuhan,NA,0
2020-05-21,Wuhan,NA,0
2020-05-22,Wuhan,NA,0
2020-05-23,Wuhan,NA,0
2020-05-24,Wuhan,NA,0
2020-05-25,Wuhan,NA,0
2020-05-26,Wuhan,NA,0
2020-05-27,Wuhan,NA,0
2020-05-28,Wuhan,NA,0
2020-05-29,Wuhan,NA,0
2020-05-30,Wuhan,NA,0
2020-05-31,Wuhan,NA,0
2020-06-01,Wuhan,NA,0
2020-06-02,Wuhan,NA,0
2020-06-03,Wuhan,NA,0
2020-06-04,Wuhan,NA,0
2020-06-05,Wuhan,NA,0
2020-06-06,Wuhan,NA,0
2020-06-07,Wuhan,NA,0
2020-06-08,Wuhan,NA,0
2020-06-09,Wuhan,NA,0
2020-06-10,Wuhan,NA,0
2020-06-11,Wuhan,NA,0
2020-06-12,Wuhan,NA,0
2020-06-13,Wuhan,NA,0
2020-06-14,Wuhan,NA,0
2020-06-15,Wuhan,NA,0
2020-06-16,Wuhan,NA,0
2020-06-17,Wuhan,NA,0
2020-06-18,Wuhan,NA,0
2020-06-19,Wuhan,NA,0
2020-06-20,Wuhan,NA,0
2020-06-21,Wuhan,NA,0
2020-06-22,Wuhan,NA,0
2020-06-23,Wuhan,NA,0
2020-06-24,Wuhan,NA,0
2020-06-25,Wuhan,NA,0
2020-06-26,Wuhan,NA,0
2020-06-27,Wuhan,NA,0
2020-06-28,Wuhan,NA,0
2020-06-29,Wuhan,NA,0
2020-06-30,Wuhan,NA,0
2020-07-01,Wuhan,NA,0
2020-07-02,Wuhan,NA,0
2020-07-03,Wuhan,NA,0
2020-07-04,Wuhan,NA,0
2020-07-05,Wuhan,NA,0
2020-07-06,Wuhan,NA,0
2020-07-07,Wuhan,NA,0
2020-07-08,Wuhan,NA,0
2020-07-09,Wuhan,NA,0
2020-07-10,Wuhan,NA,0
2020-07-11,Wuhan,NA,0
2020-07-12,Wuhan,NA,0
2020-07-13,Wuhan,NA,0
2020-07-14,Wuhan,NA,0
2020-07-15,Wuhan,NA,0
2020-07-16,Wuhan,NA,0
2020-07-17,Wuhan,NA,0
2020-07-18,Wuhan,NA,0
2020-07-19,Wuhan,NA,0
2020-07-20,Wuhan,NA,0
2020-07-21,Wuhan,NA,0
2020-07-22,Wuhan,NA,0
2020-07-23,Wuhan,NA,0
2020-07-24,Wuhan,NA,0
2020-07-25,Wuhan,NA,0
2020-07-26,Wuhan,NA,0
2020-07-27,Wuhan,NA,0
2020-07-28,Wuhan,NA,0
2020-07-29,Wuhan,NA,0
2020-07-30,Wuhan,NA,0
2020-07-31,Wuhan,NA,0
2020-08-01,Wuhan,NA,0
2020-08-02,Wuhan,NA,0
2020-08-03,Wuhan,NA,0
2020-08-04,Wuhan,NA,0
2020-08-05,Wuhan,NA,0
2020-08-06,Wuhan,NA,0
2020-08-07,Wuhan,NA,0
2020-08-08,Wuhan,NA,0
2020-08-09,Wuhan,NA,0
2020-08-10,Wuhan,NA,0
2020-08-11,Wuhan,NA,0
2020-08-12,Wuhan,NA,0
2020-08-13,Wuhan,NA,0
2020-08-14,Wuhan,NA,0
2020-08-15,Wuhan,NA,0
2020-08-16,Wuhan,NA,0
2020-08-17,Wuhan,NA,0
